,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,2,2,chercher,search
2,3,3,seulement,only
3,4,4,police,police
4,5,5,pensais,thought
5,6,6,aide,help
6,7,7,demande,request
7,8,8,genre,kind
8,9,9,mois,month
9,10,10,frère,brother
10,11,11,laisser,let
11,12,12,car,because
12,13,13,mettre,to put
13,14,14,aucun,no
14,15,15,laisse,leash
15,16,16,eux,them
16,17,18,chaque,each
17,18,19,parlé,speak
18,19,20,arrivé,come
19,20,21,devrait,should
20,21,22,bébé,baby
21,22,23,longtemps,long time
22,23,24,heures,hours
23,24,25,vont,will
24,25,26,pendant,while
25,26,27,revoir,meet again
26,27,28,place,square
27,28,29,parle,speak
28,29,30,compris,understood
29,31,32,attention,Warning
30,33,34,affaire,case
31,34,35,donner,give
32,35,36,type,type
33,36,37,leurs,their
34,37,38,donné,given
35,38,39,train,train
36,40,41,endroit,place
37,41,42,yeux,eyes
38,42,43,façon,way
39,43,44,écoute,listen
40,45,46,trouve,find
41,46,47,premier,first
42,47,48,perdu,lost
43,48,49,main,hand
44,49,50,première,first
45,50,51,côté,side
46,51,52,pouvoir,power
47,53,54,sois,be
48,54,55,matin,morning
49,55,56,tellement,so much
50,56,57,enfant,child
51,57,59,venu,came
52,58,60,suite,after
53,59,61,pardon,sorry
54,60,62,venez,come
55,61,64,vers,towards
56,62,65,minutes,minutes
57,63,66,demandé,request
58,64,67,mis,placed
59,66,70,aimerais,would like to
60,67,71,aujourd'hui,today
61,68,73,cause,cause
62,69,74,enfin,finally
63,70,75,eau,water
64,71,76,attendez,Wait
65,72,77,parti,left
66,73,78,nouvelle,new
67,74,79,boulot,job
68,75,80,arrêter,Stop
69,76,81,dirait,would say
70,77,82,terre,Earth
71,78,83,compte,account
72,79,84,donne,given
73,80,85,loin,far
74,81,86,fin,end
75,82,87,croire,believe
76,83,88,chérie,sweetheart
77,84,89,gros,large
78,85,90,plutôt,rather
79,86,91,aura,will have
80,87,92,filles,girls
81,88,93,jouer,to play
82,89,94,bureau,office
